area_code,APP,CTR,DEL,DEP,GND,TWR,Total_Score
EGLL,1.0,0.0,1.0,0.0,3.0,2.0,7.0
ULLI,1.0,0.0,1.0,0.0,1.0,2.0,5.0
EGBB,2.0,0.0,0.0,0.0,1.0,1.0,4.0
EGPH,2.0,0.0,0.0,0.0,1.0,1.0,4.0
LAX,0.0,1.0,0.0,1.0,1.0,1.0,4.0
EGKK,1.0,0.0,1.0,0.0,1.0,1.0,4.0
EGCC,1.0,0.0,1.0,0.0,1.0,0.0,3.0
MEM,1.0,1.0,0.0,0.0,0.0,1.0,3.0
LKPR,1.0,0.0,1.0,0.0,1.0,0.0,3.0
ZSNJ,1.0,0.0,0.0,0.0,2.0,0.0,3.0
UUEE,1.0,0.0,0.0,0.0,1.0,1.0,3.0
LEPA,1.0,0.0,0.0,0.0,1.0,0.0,2.0
ENBR,1.0,0.0,0.0,0.0,0.0,1.0,2.0
LROP,1.0,0.0,0.0,0.0,0.0,1.0,2.0
LPPT,1.0,0.0,0.0,0.0,1.0,0.0,2.0
LON,0.0,2.0,0.0,0.0,0.0,0.0,2.0
EIDW,1.0,0.0,0.0,0.0,0.0,1.0,2.0
ESGG,2.0,0.0,0.0,0.0,0.0,0.0,2.0
JAX,0.0,2.0,0.0,0.0,0.0,0.0,2.0
GMMN,1.0,0.0,0.0,0.0,0.0,1.0,2.0
ULLL,1.0,1.0,0.0,0.0,0.0,0.0,2.0
EGJJ,0.0,0.0,0.0,0.0,1.0,1.0,2.0
EGPF,1.0,0.0,0.0,0.0,0.0,1.0,2.0
SAN,0.0,0.0,0.0,0.0,1.0,1.0,2.0
MDW,0.0,0.0,0.0,0.0,1.0,1.0,2.0
OMDB,0.0,0.0,0.0,0.0,1.0,1.0,2.0
URWW,1.0,0.0,0.0,0.0,0.0,1.0,2.0
EHAA,0.0,1.0,0.0,0.0,0.0,0.0,1.0
EDDN,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EDDM,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EFIN,0.0,1.0,0.0,0.0,0.0,0.0,1.0
EDSB,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EBCI,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ANK,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BDA,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BNA,0.0,0.0,0.0,1.0,0.0,0.0,1.0
BOS,1.0,0.0,0.0,0.0,0.0,0.0,1.0
CZQM,0.0,1.0,0.0,0.0,0.0,0.0,1.0
DFW,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EBBR,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ADR,0.0,1.0,0.0,0.0,0.0,0.0,1.0
EGGD,1.0,0.0,0.0,0.0,0.0,0.0,1.0
EGGP,1.0,0.0,0.0,0.0,0.0,0.0,1.0
EDDK,0.0,0.0,0.0,0.0,1.0,0.0,1.0
EVRR,0.0,1.0,0.0,0.0,0.0,0.0,1.0
LHBP,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LEMD,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HAAB,1.0,0.0,0.0,0.0,0.0,0.0,1.0
LDDU,1.0,0.0,0.0,0.0,0.0,0.0,1.0
JAC,0.0,0.0,0.0,0.0,0.0,1.0,1.0
FAOR,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENGM,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EVRA,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ESSA,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EKDK,0.0,1.0,0.0,0.0,0.0,0.0,1.0
EKCH,0.0,0.0,0.0,0.0,1.0,0.0,1.0
LTC,0.0,1.0,0.0,0.0,0.0,0.0,1.0
LRBB,0.0,1.0,0.0,0.0,0.0,0.0,1.0
LPPC,0.0,1.0,0.0,0.0,0.0,0.0,1.0
LPPR,1.0,0.0,0.0,0.0,0.0,0.0,1.0
LOWW,0.0,0.0,0.0,0.0,1.0,0.0,1.0
LIEO,0.0,0.0,0.0,0.0,0.0,1.0,1.0
